,name,link,company,salary_min,salary_max,currency,source
59,Аналитик 1С,https://hh.ru/vacancy/39131841?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО АйТи Лайт,100000,120000,руб.,hh.ru
60,Химик-аналитик,https://hh.ru/vacancy/39044459?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО БИОКОЛ,,,,hh.ru
61,Аналитик соцмедиа,https://hh.ru/vacancy/38982540?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Web Interactive World,120000,NaN,руб.,hh.ru
62,Экономист-аналитик,https://hh.ru/vacancy/38525179?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО КМ-Финанс,NaN,NaN,NaN,hh.ru
63,Экономист-аналитик,https://hh.ru/vacancy/38546975?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО УК Автодор,,,,hh.ru
64,Аналитик,https://hh.ru/vacancy/39088722?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ТОО Коркем Телеком,NaN,NaN,NaN,hh.ru
65,Аналитик данных,https://hh.ru/vacancy/38572882?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BestDoctor,120000,NaN,руб.,hh.ru
66,Помощник аналитика,https://hh.ru/vacancy/38994133?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Башлаев Роман Георгиевич,,,,hh.ru
67,Специалист по аналитике / Стажер отдела аналитики,https://hh.ru/vacancy/38790197?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Монтранс,NaN,NaN,NaN,hh.ru
68,Бизнес-аналитик IT,https://hh.ru/vacancy/38610256?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО ОТС,150000,NaN,руб.,hh.ru
69,Экономист-аналитик,https://hh.ru/vacancy/38924532?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ВВП,80000,NaN,руб.,hh.ru
70,Кредитный аналитик,https://hh.ru/vacancy/39110373?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Кумачев Игорь Игоревич,,,,hh.ru
71,Аналитик BI,https://hh.ru/vacancy/38931643?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Первый Бит,150000,169500,руб.,hh.ru
